,Fulham scored,Fulham received,Swansea scored,Swansea received,West Brom scored,West Brom received,Chelsea scored,Chelsea received,Man City scored,Man City received,Newcastle scored,Newcastle received,Everton scored,Everton received,West Ham scored,West Ham received,Reading scored,Reading received,Stoke scored,Stoke received,Arsenal scored,Arsenal received,Sunderland scored,Sunderland received,Southampton scored,Southampton received,Tottenham scored,Tottenham received,Aston Villa scored,Aston Villa received,Man United scored,Man United received,Wigan scored,Wigan received,Liverpool scored,Liverpool received,Norwich scored,Norwich received,QPR scored,QPR received
0,5,0,5,0,3,0,2,0,3,2,2,1,1,0,1,0,1,1,1,1,0,0,0,0,2,3,1,2,0,1,0,1,0,2,0,3,0,5,0,5
1,2,3,3,0,1,1,2,0,2,2,0,2,3,1,0,3,0,3,0,0,0,0,3,0,0,2,1,1,1,3,3,2,2,0,2,2,1,1,1,1
2,0,3,2,2,2,0,4,2,3,1,1,1,0,2,3,0,2,4,2,2,2,0,2,2,2,3,1,1,1,1,3,2,2,2,0,2,1,1,1,3
3,3,0,0,2,0,3,0,0,1,1,2,2,2,2,0,0,1,3,1,1,6,1,1,1,1,6,3,1,2,0,4,0,0,4,1,1,0,0,0,0
4,2,1,0,3,1,0,1,0,1,1,1,0,3,0,1,1,0,1,0,1,1,1,1,1,4,1,2,1,1,4,2,1,1,2,1,2,0,1,1,2
5,1,2,0,2,1,1,2,1,2,1,2,2,3,1,2,1,2,2,2,0,1,2,1,0,1,3,3,2,1,1,2,3,0,1,5,2,2,5,1,2
6,2,2,2,2,3,2,4,1,3,0,0,3,2,2,1,3,2,2,0,0,3,1,0,3,2,2,2,0,0,2,3,0,2,2,0,0,1,4,2,3
7,1,0,2,1,1,2,4,2,2,1,1,1,1,1,4,1,0,1,2,4,0,1,1,1,1,4,2,4,0,1,4,2,1,2,1,0,1,0,1,1
8,3,3,0,1,1,2,2,3,1,0,2,1,2,2,1,2,3,3,0,0,1,0,0,0,1,2,2,1,1,1,3,2,2,1,2,2,1,1,0,1
9,2,2,1,1,2,0,1,1,0,0,1,1,2,2,0,0,1,1,0,1,1,2,0,1,0,2,0,1,1,0,2,1,1,0,1,1,1,0,1,1
10,3,3,1,1,2,1,1,1,2,1,0,1,2,1,1,0,0,0,1,0,3,3,1,2,1,1,1,2,2,3,3,2,1,2,1,1,0,0,0,1
11,1,3,2,1,2,1,1,2,5,0,1,2,1,2,1,1,2,1,1,1,5,2,3,1,3,1,2,5,0,5,0,1,0,3,3,0,1,0,1,3
12,0,1,0,0,4,2,0,0,0,0,0,2,1,1,1,3,2,3,1,0,0,0,2,4,2,0,3,1,0,0,3,1,3,2,0,0,1,1,1,3
13,0,0,3,1,1,3,0,0,2,0,1,2,1,1,0,1,0,1,2,1,1,1,0,0,1,1,2,1,1,0,1,0,0,2,1,2,1,1,0,0
14,0,3,2,0,0,1,1,3,1,1,3,0,1,1,3,1,3,4,1,0,0,2,1,2,0,1,3,0,1,1,4,3,0,3,1,0,2,1,1,1
15,2,1,3,4,0,2,3,1,2,3,1,2,2,1,2,3,0,1,0,0,2,0,1,3,1,0,1,2,0,0,3,2,2,2,3,2,4,3,2,2
16,1,2,0,1,0,0,2,2,3,1,1,3,1,1,0,0,2,5,1,1,5,2,1,3,2,2,1,0,3,1,3,1,1,2,1,3,2,1,2,1
17,0,4,1,1,2,1,8,0,1,0,1,0,2,1,1,2,0,1,0,0,1,0,1,0,0,1,0,0,0,8,1,1,0,1,4,0,1,2,0,1
18,1,1,0,0,2,1,1,0,0,1,3,4,2,1,1,5,0,0,3,1,5,1,1,0,1,1,4,0,0,4,4,3,1,2,1,3,0,1,1,2
19,1,2,2,1,0,2,2,1,4,3,3,7,1,2,0,1,1,0,3,3,7,3,1,2,3,3,2,1,0,3,2,0,3,0,3,0,3,4,0,3
20,2,1,2,2,1,2,0,1,3,0,1,2,2,1,2,1,1,3,0,3,1,1,0,3,1,1,3,1,2,2,4,0,0,4,3,0,1,2,1,0
21,1,1,0,0,2,3,4,0,2,0,0,0,0,0,0,3,3,2,0,4,0,2,3,0,1,0,0,0,0,1,2,1,1,1,1,2,0,0,0,0
22,0,2,3,1,2,2,2,1,2,0,1,2,0,0,1,1,2,1,1,3,1,2,3,2,0,0,1,1,2,2,1,1,2,3,5,0,0,5,1,1
23,3,1,0,0,1,2,2,2,0,0,2,1,2,1,1,3,2,2,2,2,2,2,0,0,1,2,1,1,1,2,2,1,2,2,2,2,1,1,0,0
24,0,1,0,1,0,1,2,3,2,2,3,2,3,3,1,0,2,1,0,1,1,0,1,2,2,2,1,0,3,3,1,0,2,2,2,2,0,0,0,0
25,0,0,4,1,2,0,4,1,1,3,1,2,0,2,1,2,1,2,2,1,1,0,0,1,3,1,2,1,2,1,2,0,1,4,0,2,0,0,1,4
26,1,0,0,5,2,1,0,2,2,0,4,2,1,2,2,3,0,3,0,1,2,1,1,2,2,4,3,2,1,2,2,0,3,0,5,0,2,1,0,2
27,2,2,1,0,0,1,1,0,1,0,0,1,3,1,1,0,1,3,0,1,1,2,2,2,1,2,2,1,0,1,4,0,0,4,4,0,0,4,2,1
28,0,3,1,2,2,1,3,0,1,0,2,1,0,0,2,2,1,2,1,2,0,0,1,3,0,0,2,3,2,1,2,2,0,1,3,2,0,0,3,1
29,1,0,0,2,0,0,2,0,0,2,1,2,2,0,0,2,0,1,0,0,2,0,1,1,3,1,0,1,3,2,1,0,2,1,1,3,1,1,2,3
30,3,2,1,2,1,3,1,2,4,0,0,4,1,0,3,1,1,4,0,1,4,1,0,1,2,1,2,1,1,2,1,0,1,0,2,1,0,1,2,3
31,0,1,2,2,1,2,2,1,2,1,1,0,2,2,0,0,0,2,1,3,2,1,1,2,2,0,2,2,3,1,1,2,1,1,0,0,2,2,1,1
32,1,1,3,2,0,1,2,2,1,0,0,3,2,0,1,1,0,0,0,2,3,1,3,0,1,1,2,2,1,1,2,0,2,3,0,0,1,3,0,2
33,0,1,0,0,1,1,2,2,1,3,1,1,0,1,2,0,1,2,2,0,1,0,1,0,0,0,3,1,0,3,3,0,0,2,2,2,2,1,0,2
34,0,1,0,2,3,0,2,0,2,1,0,6,1,0,1,2,0,0,1,0,1,1,1,6,0,3,2,2,6,1,1,1,2,2,6,0,0,1,0,0
35,2,4,0,0,2,3,1,0,0,0,0,0,0,0,0,0,4,2,1,1,1,0,1,1,0,1,1,0,2,1,0,1,3,2,0,0,1,2,0,1
36,1,3,1,2,0,4,2,1,2,0,2,1,2,0,0,2,0,2,1,2,4,1,1,1,1,1,2,1,1,2,2,1,1,4,3,1,4,0,1,2
37,3,0,0,3,5,5,2,1,2,3,0,1,1,2,4,2,2,4,1,1,1,0,0,1,1,1,1,0,2,2,5,5,2,2,1,0,3,2,0,1
